name,rank,branch,incidentdate,state,day,month,year,pop1950
"EDWARDS, WILLARD",Pfc,UNITED STATES ARMY,12/2/50,VIRGINIA,2,12,1950,3262000
"EDWARDS, WILLIE",Pvt,UNITED STATES ARMY,6/15/52,NORTH CAROLINA,15,6,1952,4060000
"EFFA, GERALD",Pvt,UNITED STATES ARMY,11/2/50,MICHIGAN,2,11,1950,6421000
"EFLAND, DONALD",Pfc,UNITED STATES ARMY,11/2/50,NEW YORK,2,11,1950,14830192
"EGAN, RAUL",Pvt,UNITED STATES ARMY,1/24/52,ILLINOIS,24,1,1952,8712176
"EGGERS, HERBERT",Pvt,UNITED STATES ARMY,7/16/50,INDIANA,16,7,1950,3952000
"EHELER, DONALD",Pfc,UNITED STATES ARMY,10/7/51,WASHINGTON,7,10,1951,2386000
"EHRLICH, LELAND",Sgt,UNITED STATES MARINE CORPS,12/7/50,WISCONSIN,7,12,1950,3449000
"EICHELBERGER, GEORGE",2nd Lt,UNITED STATES AIR FORCE,1/15/52,VIRGINIA,15,1,1952,3262000
"EKLUND, EDWIN",Capt,UNITED STATES ARMY,12/1/50,MINNESOTA,1,12,1950,2995000
"ELDER, HOWARD",Cpl,UNITED STATES ARMY,1/28/51,KANSAS,28,1,1951,1915000
"ELDRIDGE, MELBURN",Pvt,UNITED STATES ARMY,12/1/50,TENNESSEE,1,12,1950,3304000
"ELEY, SAMUEL",Pfc,UNITED STATES ARMY,11/26/50,PENNSYLVANIA,26,11,1950,10498012
"ELIAS, DANIEL",Pvt,UNITED STATES ARMY,7/27/50,PENNSYLVANIA,27,7,1950,10498012
"ELKINS, GEORGE",Pfc,UNITED STATES ARMY,3/23/53,VIRGINIA,23,3,1953,3262000
"ELLARS, ROBERT",PFC,UNITED STATES MARINE CORPS,8/9/52,CALIFORNIA,9,8,1952,10586223
"ELLIOTT, JAMES",1st Lt,UNITED STATES ARMY,8/27/50,MICHIGAN,27,8,1950,6421000
"ELLIOTT, ROY",Sfc,UNITED STATES ARMY,11/30/50,KANSAS,30,11,1950,1915000
"ELLIOTT, SHELBY",Pvt,UNITED STATES ARMY,12/1/50,GEORGIA,1,12,1950,3451000
"ELLIOTT, WAYNE",Pvt,UNITED STATES ARMY,10/29/52,ILLINOIS,29,10,1952,8712176
"ELLIS, HENRY",PFC,UNITED STATES MARINE CORPS,11/30/50,VIRGINIA,30,11,1950,3262000
"ELLIS, JOHN",Capt,UNITED STATES ARMY,11/30/50,CALIFORNIA,30,11,1950,10586223
"ELLIS, JULIUS",Cpl,UNITED STATES ARMY,2/12/51,ALABAMA,12,2,1951,3060000
"ELLIS, RAYMOND",Cpl,UNITED STATES ARMY,11/29/50,NEW YORK,29,11,1950,14830192
"ELLISON, HAROLD",PFC,UNITED STATES MARINE CORPS,4/24/51,TEXAS,24,4,1951,7748000
"ELLISON, REX",1stLt,UNITED STATES MARINE CORPS,12/21/52,CALIFORNIA,21,12,1952,10586223
"ELMORE, CHARLES",Sfc,UNITED STATES ARMY,11/29/50,ARKANSAS,29,11,1950,1906000
"ELMORE, JOE",Pvt,UNITED STATES ARMY,12/2/50,KENTUCKY,2,12,1950,2957000
"ELSMAN, RALPH",Sgt,UNITED STATES AIR FORCE,4/12/51,CALIFORNIA,12,4,1951,10586223
"ELSOM, BILL",1st Lt,UNITED STATES AIR FORCE,1/6/52,WYOMING,6,1,1952,292000
"ELWOOD, SHERMAN",1st Lt,UNITED STATES ARMY,2/12/51,MISSOURI,12,2,1951,3946000
"ELY, JACOB",Cpl,UNITED STATES ARMY,11/28/50,MARYLAND,28,11,1950,2376000
"EMBREY, PAUL",M/Sgt,UNITED STATES ARMY,11/28/50,VIRGINIA,28,11,1950,3262000
"EMERSON, AMOS",Pfc,UNITED STATES ARMY,11/11/50,TEXAS,11,11,1950,7748000
"EMERSON, JAMES",Pfc,UNITED STATES ARMY,2/13/51,ARKANSAS,13,2,1951,1906000
"EMERY, JAMES",Pfc,UNITED STATES ARMY,12/1/50,OHIO,1,12,1950,7946627
"EMMANS, GERALD",Pfc,UNITED STATES ARMY,11/5/51,MINNESOTA,5,11,1951,2995000
"EMORY, PAUL",Pvt,UNITED STATES ARMY,12/1/50,PENNSYLVANIA,1,12,1950,10498012
"EMRICK, HOWARD",Pvt,UNITED STATES ARMY,7/20/50,INDIANA,20,7,1950,3952000
"ENAS, WILLIAM",Cpl,UNITED STATES ARMY,11/29/50,WASHINGTON,29,11,1950,2386000
"ENCINAS, RICHARD",Cpl,UNITED STATES ARMY,12/1/50,ARIZONA,1,12,1950,756000
"ENGDAHL, JAMES",Pfc,UNITED STATES ARMY,7/16/50,NEW JERSEY,16,7,1950,4860000
"ENGEHOLM, STANLEY",Pvt,UNITED STATES ARMY,7/16/50,NEW YORK,16,7,1950,14830192
"ENGLADE, RUSSELL",Pfc,UNITED STATES ARMY,11/30/50,LOUISIANA,30,11,1950,2701000
"ENGLAND, HORACE",Sgt,UNITED STATES ARMY,11/28/50,NORTH CAROLINA,28,11,1950,4060000
"ENGLEMAN, KENNETH",Pfc,UNITED STATES ARMY,11/27/50,PENNSYLVANIA,27,11,1950,10498012
"ENGLISH, LEMUEL",2nd Lt,UNITED STATES ARMY,11/27/50,TEXAS,27,11,1950,7748000
"ENGLISH, LEONARD",Cpl,UNITED STATES ARMY,11/30/50,MARYLAND,30,11,1950,2376000
"ENGSTROM, RALPH",Cpl,UNITED STATES MARINE CORPS,12/10/50,TENNESSEE,10,12,1950,3304000
"ENLOW, DALE",Pfc,UNITED STATES ARMY,2/8/51,ILLINOIS,8,2,1951,8712176
"ENLOW, FRED",Pfc,UNITED STATES ARMY,11/27/50,MICHIGAN,27,11,1950,6421000
"ENNIS, WILLIAM",Sfc,UNITED STATES ARMY,11/2/50,GEORGIA,2,11,1950,3451000
"ENOS, GEORGE",Pfc,UNITED STATES ARMY,9/15/50,NEW YORK,15,9,1950,14830192
"ENOS, GORDON",Cpl,UNITED STATES ARMY,11/30/50,ARIZONA,30,11,1950,756000
"ENRIGHT, WILLIAM",Sgt,UNITED STATES MARINE CORPS,12/2/50,INDIANA,2,12,1950,3952000
"EPP, WILLIAM",PFC,UNITED STATES MARINE CORPS,11/27/50,CALIFORNIA,27,11,1950,10586223
"EPPINGER, RUSSELL",Pvt,UNITED STATES ARMY,1/3/51,OHIO,3,1,1951,7946627
"EPPLEY, ALBERT",Cpl,UNITED STATES ARMY,11/30/50,PENNSYLVANIA,30,11,1950,10498012
"ERDENBERGER, RICHARD",PFC,UNITED STATES MARINE CORPS,12/3/50,OHIO,3,12,1950,7946627
"ERICKSON, DEAN",Pfc,UNITED STATES AIR FORCE,9/19/51,MINNESOTA,19,9,1951,2995000
"ERICKSON, HAROLD",Pfc,UNITED STATES ARMY,9/7/51,IOWA,7,9,1951,2621000
"ERICKSON, LEE",SSgt,UNITED STATES AIR FORCE,5/7/51,OREGON,7,5,1951,1532000
"ERITANO, DOMINIC",Cpl,UNITED STATES ARMY,6/24/51,OHIO,24,6,1951,7946627
"ERNEST, CLARENCE",Cpl,UNITED STATES ARMY,7/9/53,LOUISIANA,9,7,1953,2701000
"ERRGANG, JOSEPH",TSgt,UNITED STATES MARINE CORPS,2/27/53,OHIO,27,2,1953,7946627
"ERRINGTON, JOHN",SSgt,UNITED STATES AIR FORCE,6/11/52,MISSISSIPPI,11,6,1952,2169000
"ERSTE, DANIEL",Pvt,UNITED STATES ARMY,12/6/50,WISCONSIN,6,12,1950,3449000
"ERTLE, CHARLES",Pfc,UNITED STATES ARMY,10/19/52,MISSISSIPPI,19,10,1952,2169000
"ERVIN, ROBERT",PFC,UNITED STATES MARINE CORPS,12/2/50,PENNSYLVANIA,2,12,1950,10498012
"ESCALANTE, WILLIAM",Pvt,UNITED STATES ARMY,1/13/53,FLORIDA,13,1,1953,2821000
"ESCALLE, JIMMY",2nd Lt,UNITED STATES AIR FORCE,6/19/53,CALIFORNIA,19,6,1953,10586223
"ESKINE, MALCOLM",Cpl,UNITED STATES ARMY,8/25/50,LOUISIANA,25,8,1950,2701000
"ESPOSITO, LOUIS",1st Lt,UNITED STATES AIR FORCE,10/22/51,NEW JERSEY,22,10,1951,4860000
"ESSLER, ELWOOD",Cpl,UNITED STATES ARMY,11/29/50,NEW JERSEY,29,11,1950,4860000
"ESSMEIER, WILLIAM",WOJG,UNITED STATES ARMY,12/1/50,WASHINGTON,1,12,1950,2386000
"ESTES, EDWARD",Pfc,UNITED STATES ARMY,7/8/50,ARKANSAS,8,7,1950,1906000
"ESTES, ROBERT",Pfc,UNITED STATES ARMY,11/30/50,INDIANA,30,11,1950,3952000
"ESTRADA, ALBERT",Pfc,UNITED STATES ARMY,12/6/50,CALIFORNIA,6,12,1950,10586223
"ESTWICK, THOMAS",Cpl,UNITED STATES MARINE CORPS,12/3/50,NEW JERSEY,3,12,1950,4860000
"ETTER, RAY",Pvt,UNITED STATES ARMY,2/13/51,PENNSYLVANIA,13,2,1951,10498012
"EUBANKS, GUY",Sgt,UNITED STATES ARMY,9/5/50,NORTH CAROLINA,5,9,1950,4060000
"EUBANKS, RANDOLPH",Pvt,UNITED STATES ARMY,11/19/50,NORTH CAROLINA,19,11,1950,4060000
"EUSTON, THOMAS",LT,UNITED STATES NAVY,3/10/53,CALIFORNIA,10,3,1953,10586223
"EVANS, ALEXANDER",Cpl,UNITED STATES ARMY,11/27/50,SOUTH CAROLINA,27,11,1950,2119000
"EVANS, BRYANT",Pfc,UNITED STATES ARMY,11/2/50,OHIO,2,11,1950,7946627
"EVANS, CARL",1st Lt,UNITED STATES AIR FORCE,3/11/52,UTAH,11,3,1952,696000
"EVANS, DANIEL",1st Lt,UNITED STATES AIR FORCE,4/7/53,TEXAS,7,4,1953,7748000
"EVANS, DAVID",2dLt,UNITED STATES MARINE CORPS,9/30/52,CALIFORNIA,30,9,1952,10586223
"EVANS, EDWARD",Cpl,UNITED STATES ARMY,11/30/50,WEST VIRGINIA,30,11,1950,2006000
"EVANS, EMMETT",1st Lt,UNITED STATES AIR FORCE,11/8/52,TEXAS,8,11,1952,7748000
"EVANS, GENE",Pfc,UNITED STATES ARMY,12/12/50,CALIFORNIA,12,12,1950,10586223
"EVANS, HUBERT",LTJG,UNITED STATES NAVY,2/16/53,OHIO,16,2,1953,7946627
"EVANS, JAMES",Pvt,UNITED STATES ARMY,11/28/50,KANSAS,28,11,1950,1915000
"EVANS, JAMES",SSgt,UNITED STATES MARINE CORPS,7/7/52,OHIO,7,7,1952,7946627
"EVANS, JOHN",PFC,UNITED STATES MARINE CORPS,11/27/50,OHIO,27,11,1950,7946627
"EVANS, JOSEPH",Sgt,UNITED STATES ARMY,7/12/50,GEORGIA,12,7,1950,3451000
"EVANS, JUNIOR",Pvt,UNITED STATES ARMY,12/12/50,TEXAS,12,12,1950,7748000
"EVANS, MURL",Sfc,UNITED STATES ARMY,8/11/50,OKLAHOMA,11,8,1950,2193000
"EVANS, OWEN",Pvt,UNITED STATES ARMY,7/9/53,MISSOURI,9,7,1953,3946000
"EVANS, OWENS",Pfc,UNITED STATES ARMY,12/2/50,ALABAMA,2,12,1950,3060000
"EVANS, VERNON",Pvt,UNITED STATES ARMY,11/28/50,PENNSYLVANIA,28,11,1950,10498012
"EVANS, VIRGLE",Pfc,UNITED STATES ARMY,9/15/50,CALIFORNIA,15,9,1950,10586223
"EVANS, WALLIS",Pfc,UNITED STATES ARMY,12/6/50,NORTH CAROLINA,6,12,1950,4060000
"EVANS, WARD",Pvt,UNITED STATES ARMY,10/19/52,TEXAS,19,10,1952,7748000
"EVANS, WILLIAM",Pfc,UNITED STATES ARMY,12/3/50,NEW JERSEY,3,12,1950,4860000
"EVANTS, BOBBIE",Sgt,UNITED STATES ARMY,2/13/51,ARKANSAS,13,2,1951,1906000
"EVERETT, HARRY",Capt,UNITED STATES ARMY,3/18/51,ILLINOIS,18,3,1951,8712176
"EVERETTS, CLARENCE",Pfc,UNITED STATES ARMY,11/28/50,PENNSYLVANIA,28,11,1950,10498012
"EVERHART, ELMER",Cpl,UNITED STATES ARMY,10/12/51,OHIO,12,10,1951,7946627
"EVERING, JOHN",Pfc,UNITED STATES ARMY,4/25/51,NEW JERSEY,25,4,1951,4860000
"EWART, JACK",Pvt,UNITED STATES ARMY,2/13/51,PENNSYLVANIA,13,2,1951,10498012
"EYER, GORDON",Pvt,UNITED STATES ARMY,7/27/50,PENNSYLVANIA,27,7,1950,10498012
"FABBI, ERNEST",Pvt,UNITED STATES ARMY,7/12/50,NEW YORK,12,7,1950,14830192
"FABRIZE, DONALD",Pvt,UNITED STATES ARMY,7/16/50,NEW YORK,16,7,1950,14830192
"FACTOR, KENNETH",2dLt,UNITED STATES MARINE CORPS,7/18/52,OKLAHOMA,18,7,1952,2193000
"FAETH, WILLIAM",Cpl,UNITED STATES AIR FORCE,9/9/50,MINNESOTA,9,9,1950,2995000
"FAHRMEYER, KERMIT",Pfc,UNITED STATES ARMY,7/20/50,KANSAS,20,7,1950,1915000
"FAILE, BILLIE",PFC,UNITED STATES MARINE CORPS,10/27/52,SOUTH CAROLINA,27,10,1952,2119000
"FAIN, BILL",1st Lt,UNITED STATES AIR FORCE,2/8/53,FLORIDA,8,2,1953,2821000
"FAIN, J.C.",Pfc,UNITED STATES ARMY,7/20/50,ARKANSAS,20,7,1950,1906000
"FAIRBANKS, RICHARD",Pvt,UNITED STATES ARMY,10/4/51,MINNESOTA,4,10,1951,2995000
"FAIRCHILD, RAY",PFC,UNITED STATES MARINE CORPS,11/27/50,KENTUCKY,27,11,1950,2957000
"FALCON, ROBERTO",Pfc,UNITED STATES ARMY,11/27/50,TEXAS,27,11,1950,7748000
"FALK, CHARLES",Sfc,UNITED STATES ARMY,11/28/50,CALIFORNIA,28,11,1950,10586223
"FALK, HERMAN",2nd Lt,UNITED STATES ARMY,2/12/51,NEW YORK,12,2,1951,14830192
"FALKENBURG, HARRY",Pvt,UNITED STATES ARMY,5/19/51,PENNSYLVANIA,19,5,1951,10498012
"FALLIS, ORSON",Cpl,UNITED STATES ARMY,2/15/51,SOUTH DAKOTA,15,2,1951,652000
"FALLON, RICHARD",Pvt,UNITED STATES ARMY,7/22/50,IOWA,22,7,1950,2621000
"FALLORINA, PIVO",Pfc,UNITED STATES ARMY,2/13/51,CALIFORNIA,13,2,1951,10586223
"FAMILIA, CHARLES",2nd Lt,UNITED STATES AIR FORCE,4/19/52,OHIO,19,4,1952,7946627
"FANCHER, HAROLD",Pfc,UNITED STATES ARMY,7/12/50,NEW YORK,12,7,1950,14830192
"FARBER, JOSEPH",Pfc,UNITED STATES AIR FORCE,4/21/51,CALIFORNIA,21,4,1951,10586223
"FARFAN, LAWRENCE",Cpl,UNITED STATES ARMY,2/13/51,CALIFORNIA,13,2,1951,10586223
"FARLEY, JOHN",Cpl,UNITED STATES MARINE CORPS,11/28/50,MINNESOTA,28,11,1950,2995000
"FARMER, KENNETH",Cpl,UNITED STATES ARMY,12/2/50,KENTUCKY,2,12,1950,2957000
"FARMER, MELVIN",Pvt,UNITED STATES ARMY,7/31/50,MISSOURI,31,7,1950,3946000
"FARMER, ROBERT",Cpl,UNITED STATES ARMY,7/6/53,OHIO,6,7,1953,7946627
"FARMER, WILLIAM",Pfc,UNITED STATES ARMY,11/30/50,VIRGINIA,30,11,1950,3262000
"FARONE, WILLIAM",Cpl,UNITED STATES ARMY,7/11/50,NEW YORK,11,7,1950,14830192
"FARRELL, EDWARD",AN,UNITED STATES NAVY,1/21/52,DISTRICT OF COLUMBIA,21,1,1952,814000
"FARRELL, GEORGE",Pvt,UNITED STATES ARMY,8/2/50,DISTRICT OF COLUMBIA,2,8,1950,814000
"FARRELL, WILLIAM",Cpl,UNITED STATES ARMY,11/2/50,NEW YORK,2,11,1950,14830192
"FARRELL, WILLIAM",Pvt,UNITED STATES ARMY,11/30/50,PENNSYLVANIA,30,11,1950,10498012
"FARRIS, ALVIN",Pfc,UNITED STATES ARMY,11/26/50,MISSOURI,26,11,1950,3946000
"FARRIS, GERALD",Pfc,UNITED STATES ARMY,12/2/50,CALIFORNIA,2,12,1950,10586223
"FARTHING, ROBERT",Cpl,UNITED STATES ARMY,2/6/51,OHIO,6,2,1951,7946627
"FARTHING, ROBERT",Maj,UNITED STATES ARMY,5/18/51,MASSACHUSETTS,18,5,1951,4690000
"FAUBEL, WARREN",AOC,UNITED STATES NAVY,11/5/50,VIRGINIA,5,11,1950,3262000
"FAULKNER, CHARLES",Pfc,UNITED STATES ARMY,7/7/53,KANSAS,7,7,1953,1915000
"FAUNCE, ARTHUR",Maj,UNITED STATES AIR FORCE,5/8/52,NEW JERSEY,8,5,1952,4860000
"FAUSONE, LOUIS",Pfc,UNITED STATES ARMY,12/6/50,CALIFORNIA,6,12,1950,10586223
"FAUST, ALBERT",Pvt,UNITED STATES ARMY,12/6/50,PENNSYLVANIA,6,12,1950,10498012
"FAVER, LLOYD",ENS,UNITED STATES NAVY,3/11/51,CALIFORNIA,11,3,1951,10586223
"FEAKES, EDWARD",1st Lt,UNITED STATES AIR FORCE,8/26/51,NEW JERSEY,26,8,1951,4860000
"FEENEY, PATRICK",Pvt,UNITED STATES ARMY,7/31/50,PENNSYLVANIA,31,7,1950,10498012
"FEENSTRA, RAYMOND",Sgt,UNITED STATES ARMY,12/1/50,PENNSYLVANIA,1,12,1950,10498012
"FEJARAN, VINCENTE",SD3,UNITED STATES NAVY,10/1/50,GUAM,1,10,1950,#N/A
"FELICIANO-NIEVES, JULIO",Pvt,UNITED STATES ARMY,9/18/52,PUERTO RICO,18,9,1952,2210000
"FELICIANO-OTERO, BIENVENIDO",Pvt,UNITED STATES ARMY,9/18/52,PUERTO RICO,18,9,1952,2210000
"FELICIANO, CARLOS",Pvt,UNITED STATES ARMY,9/18/52,PUERTO RICO,18,9,1952,2210000
"FELIX, ROBERT",Sgt,UNITED STATES ARMY,5/18/51,PENNSYLVANIA,18,5,1951,10498012
"FELTON, THOMAS",Pvt,UNITED STATES ARMY,11/28/50,FLORIDA,28,11,1950,2821000
"FENNELL, ISAAC",Sgt,UNITED STATES ARMY,2/12/51,NEW YORK,12,2,1951,14830192
"FERGUSON, BOBBY",Pfc,UNITED STATES ARMY,11/26/50,WEST VIRGINIA,26,11,1950,2006000
"FERGUSON, CARLOS",Pfc,UNITED STATES ARMY,5/18/51,WEST VIRGINIA,18,5,1951,2006000
"FERGUSON, CHARLES",PFC,UNITED STATES MARINE CORPS,3/26/53,MISSOURI,26,3,1953,3946000
"FERGUSON, HUGH",Cpl,UNITED STATES ARMY,12/1/50,MASSACHUSETTS,1,12,1950,4690000
"FERGUSON, JAMES",Pfc,UNITED STATES ARMY,6/17/52,WASHINGTON,17,6,1952,2386000
"FERGUSON, RAYMOND",Sgt,UNITED STATES ARMY,11/25/50,FLORIDA,25,11,1950,2821000
"FERGUSON, SAM",Sfc,UNITED STATES ARMY,1/12/52,CALIFORNIA,12,1,1952,10586223
"FERIEND, DAVID",Cpl,UNITED STATES ARMY,12/6/50,MICHIGAN,6,12,1950,6421000
"FERKO, LEONARD",PFC,UNITED STATES MARINE CORPS,12/10/50,PENNSYLVANIA,10,12,1950,10498012
"FERN, JAMES",Pfc,UNITED STATES ARMY,12/1/50,VIRGINIA,1,12,1950,3262000
"FERRELL, HARRY",ENFN,UNITED STATES NAVY,10/1/50,OHIO,1,10,1950,7946627
"FERRY, RICHARD",Pfc,UNITED STATES ARMY,11/30/50,KANSAS,30,11,1950,1915000
"FESTINI, STEVE",Capt,UNITED STATES AIR FORCE,5/21/51,OHIO,21,5,1951,7946627
"FETROW, GRANT",M/Sgt,UNITED STATES ARMY,11/2/50,PENNSYLVANIA,2,11,1950,10498012
"FETZER, LEO",Pfc,UNITED STATES ARMY,7/31/50,OHIO,31,7,1950,7946627
"FICEK, MOJMIR",Sfc,UNITED STATES ARMY,6/28/52,NORTH DAKOTA,28,6,1952,616000
"FIDDLER, CHARLES",Cpl,UNITED STATES ARMY,11/2/50,OHIO,2,11,1950,7946627
"FIELDING, CLIFFORD",Pfc,UNITED STATES ARMY,4/25/51,OKLAHOMA,25,4,1951,2193000
"FIELDS, BILLY",Cpl,UNITED STATES MARINE CORPS,12/11/50,KENTUCKY,11,12,1950,2957000
"FIELDS, KENNITH",Pvt,UNITED STATES ARMY,7/8/50,GEORGIA,8,7,1950,3451000
"FIELDS, LONNIE",Pfc,UNITED STATES ARMY,9/21/50,TEXAS,21,9,1950,7748000
"FIELDS, OLIVER",Sfc,UNITED STATES ARMY,11/27/50,MONTANA,27,11,1950,598000
"FIELDS, RODGER",Pfc,UNITED STATES ARMY,12/1/50,KENTUCKY,1,12,1950,2957000
"FIGUEROA-BARBOSA, LUIS",Pvt,UNITED STATES ARMY,9/18/52,PUERTO RICO,18,9,1952,2210000
"FIGUEROA, FRANK",Sgt,UNITED STATES ARMY,2/13/51,CALIFORNIA,13,2,1951,10586223
"FIGUREID, RONALD",Cpl,UNITED STATES ARMY,2/15/51,RHODE ISLAND,15,2,1951,779000
"FILARECKI, EDWARD",Cpl,UNITED STATES ARMY,11/30/50,NEW YORK,30,11,1950,14830192
"FILLER, DONALD",Pvt,UNITED STATES ARMY,7/20/50,CALIFORNIA,20,7,1950,10586223
"FINCH, ROBERT",1st Lt,UNITED STATES AIR FORCE,9/7/51,WYOMING,7,9,1951,292000
"FINCH, ROBERT",1st Lt,UNITED STATES ARMY,11/5/51,INDIANA,5,11,1951,3952000
"FINCHER, DELTIS",Maj,UNITED STATES AIR FORCE,8/22/52,PENNSYLVANIA,22,8,1952,10498012
"FINE, RICHARD",Pfc,UNITED STATES ARMY,7/12/50,PENNSYLVANIA,12,7,1950,10498012
"FINK, JAMES",Sgt,UNITED STATES ARMY,12/1/50,PENNSYLVANIA,1,12,1950,10498012
"FINLEY, EDWARD",Cpl,UNITED STATES ARMY,11/25/50,KENTUCKY,25,11,1950,2957000
"FINLEY, RICHARD",Pfc,UNITED STATES ARMY,12/1/50,OHIO,1,12,1950,7946627
"FINNIE, DAVID",Cpl,UNITED STATES ARMY,12/2/50,ILLINOIS,2,12,1950,8712176
"FISCHER, JACK",Pvt,UNITED STATES MARINE CORPS,10/27/50,CALIFORNIA,27,10,1950,10586223
"FISCHER, JAMES",Pfc,UNITED STATES ARMY,6/11/53,CALIFORNIA,11,6,1953,10586223
"FISH, JOHN",M/Sgt,UNITED STATES ARMY,7/19/53,COLORADO,19,7,1953,1337000
"FISH, WILLIAM",PFC,UNITED STATES MARINE CORPS,11/28/50,MARYLAND,28,11,1950,2376000
"FISHER, ALVA",Pfc,UNITED STATES ARMY,7/10/52,NORTH CAROLINA,10,7,1952,4060000
"FISHER, CLARENCE",Cpl,UNITED STATES ARMY,8/1/50,NEW YORK,1,8,1950,14830192
"FISHER, DONOVAN",Sgt,UNITED STATES ARMY,8/12/50,MICHIGAN,12,8,1950,6421000
"FISHER, GEORGE",Cpl,UNITED STATES ARMY,12/1/50,MASSACHUSETTS,1,12,1950,4690000
"FISHER, GEORGE",HM3,UNITED STATES NAVY,11/30/50,KENTUCKY,30,11,1950,2957000
"FISHER, JACK",2nd Lt,UNITED STATES AIR FORCE,11/22/51,NEW YORK,22,11,1951,14830192
"FISHER, JOHN",Pvt,UNITED STATES ARMY,7/27/50,WEST VIRGINIA,27,7,1950,2006000
"FISHER, ROBERT",PFC,UNITED STATES MARINE CORPS,11/28/50,MASSACHUSETTS,28,11,1950,4690000
"FISHER, WILLIAM",Capt,UNITED STATES AIR FORCE,1/23/52,IOWA,23,1,1952,2621000
"FISHER, WILLIAM",Pfc,UNITED STATES ARMY,11/2/50,NEW YORK,2,11,1950,14830192
"FISLAR, DONALD",Pvt,UNITED STATES ARMY,7/19/53,ILLINOIS,19,7,1953,8712176
"FITT, JOHN",1st Lt,UNITED STATES AIR FORCE,12/20/50,CALIFORNIA,20,12,1950,10586223
"FITZER, ROBERT",Pfc,UNITED STATES ARMY,12/1/50,NEW YORK,1,12,1950,14830192
"FITZGERALD, ERNEST",PFC,UNITED STATES MARINE CORPS,12/3/50,TEXAS,3,12,1950,7748000
"FITZGERALD, JOHN",Pfc,UNITED STATES ARMY,1/4/51,WISCONSIN,4,1,1951,3449000
"FITZGERALD, ROBERT",M/Sgt,UNITED STATES ARMY,11/28/50,ILLINOIS,28,11,1950,8712176
"FLACKMAN, ERIC",Pfc,UNITED STATES ARMY,12/11/50,CALIFORNIA,11,12,1950,10586223
"FLAHERTY, JOHN",A1C,UNITED STATES AIR FORCE,6/11/52,MASSACHUSETTS,11,6,1952,4690000
"FLAHERTY, JOSEPH",2nd Lt,UNITED STATES ARMY,7/8/53,MASSACHUSETTS,8,7,1953,4690000
"FLAHERTY, MICHAEL",Pfc,UNITED STATES ARMY,12/1/50,MASSACHUSETTS,1,12,1950,4690000
"FLANAGAN, DONALD",Pfc,UNITED STATES ARMY,4/23/51,NEW YORK,23,4,1951,14830192
"FLANAGAN, EDWARD",2nd Lt,UNITED STATES ARMY,10/13/52,NEW JERSEY,13,10,1952,4860000
"FLANARY, SAMUEL",Pfc,UNITED STATES ARMY,11/28/50,VIRGINIA,28,11,1950,3262000
"FLANDERS, HENRY",Sgt,UNITED STATES ARMY,12/12/50,NEW HAMPSHIRE,12,12,1950,531000
"FLEENER, FRED",Pfc,UNITED STATES ARMY,11/30/50,TEXAS,30,11,1950,7748000
"FLEMING, CECIL",Pfc,UNITED STATES ARMY,12/1/50,NEW JERSEY,1,12,1950,4860000
"FLEMING, EDWARD",1st Lt,UNITED STATES AIR FORCE,2/4/51,CALIFORNIA,4,2,1951,10586223
"FLEMING, FREDERICK",Pvt,UNITED STATES ARMY,8/15/50,NEW HAMPSHIRE,15,8,1950,531000
"FLEMING, JAMES",1st Lt,UNITED STATES AIR FORCE,11/8/52,PENNSYLVANIA,8,11,1952,10498012
"FLEMING, JOHN",Pvt,UNITED STATES ARMY,7/14/50,PENNSYLVANIA,14,7,1950,10498012
"FLEMING, JOHN",Sfc,UNITED STATES ARMY,7/6/53,PENNSYLVANIA,6,7,1953,10498012
"FLEMING, ROBERT",Sgt,UNITED STATES ARMY,10/10/51,ALABAMA,10,10,1951,3060000
"FLEMING, RONALD",Pvt,UNITED STATES ARMY,11/30/50,VERMONT,30,11,1950,377000
"FLEMING, SAM",PFC,UNITED STATES MARINE CORPS,4/15/52,MISSISSIPPI,15,4,1952,2169000
"FLETCHER, JOHN",Pfc,UNITED STATES ARMY,2/12/51,MISSOURI,12,2,1951,3946000
"FLETCHER, ROBERT",Pfc,UNITED STATES ARMY,7/16/50,NEW HAMPSHIRE,16,7,1950,531000
"FLETT, LEONARD",Pfc,UNITED STATES ARMY,12/21/52,WASHINGTON,21,12,1952,2386000
"FLIGHT, DAVID",Sgt,UNITED STATES ARMY,7/14/53,MASSACHUSETTS,14,7,1953,4690000
"FLOECK, ROBERT",Maj,UNITED STATES MARINE CORPS,9/23/50,CALIFORNIA,23,9,1950,10586223
"FLOOK, ARNOLD",1st Lt,UNITED STATES ARMY,12/7/50,PENNSYLVANIA,7,12,1950,10498012
"FLOOK, GRADY",Pfc,UNITED STATES ARMY,7/5/50,CALIFORNIA,5,7,1950,10586223
"FLORCZYK, EDWARD",Pvt,UNITED STATES ARMY,7/18/50,NEW YORK,18,7,1950,14830192
"FLORES-NAVARRO, JUAN",Pvt,UNITED STATES ARMY,10/15/52,PUERTO RICO,15,10,1952,2210000
"FLORES, BRAULIO",Sgt,UNITED STATES ARMY,11/30/50,TEXAS,30,11,1950,7748000
"FLORES, ROQUE",Pvt,UNITED STATES MARINE CORPS,11/28/50,CALIFORNIA,28,11,1950,10586223
"FLORES, WILLIE",Cpl,UNITED STATES ARMY,9/1/50,TEXAS,1,9,1950,7748000
