date,year,month,weekday,type,event,description,media
2009-11-10,2009,11,3,Other,Daecheong Naval Campaign,"North Korean patrol boats aimed shots at an area located at the Northern Limit Line (NLL) in the West Sea near Daecheong Island, with one of the North Korean patrol boat crossing the NLL. The patrol boat fired 50 rounds at ROK Navy vessels, and was severely damaged after retaliation from the ROK's patrol killer mediums (PKMs). One North Korean sailor was killed and three other injured.",http://www.nytimes.com/2009/11/11/world/asia/11korea.html
2009-10-12,2009,10,2,Missile Provocation,Short-range Ballistic Missile Launch,"5 short-range missiles, reportedly surface-to-surface KN-02 missiles, were fired into the East Sea from its eastern coast.",http://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201304110724185440.pdf
2009-07-30,2009,7,5,Other,Fishing Boat Seizure at NLL,"North Korean patrol boat captured South Korean fishing vessel Yeonan 800, with 4 crew members for crossing the Northern Limit Line (NLL).",http://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201304110724185440.pdf
2009-07-04,2009,7,7,Missile Provocation,Medium-range Ballistic Missile Launch,"North Korea launched 5 Scud missiles and 2 Nodong missiles from Gitdaeryeong, Kangwon Province.",http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdfVideo: https://www.youtube.com/watch?v=H-PRHWrIIuo
2009-07-02,2009,7,5,Missile Provocation,Short-range Missile Launch,"North Korea test-fired 4 surface-to-ship missiles from Sinsang-ri, Hambuk Province.",http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
2009-05-29,2009,5,6,Missile Provocation,Short-range Missile Launch,North Korea launched a surface-to-air missile.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
2009-05-27,2009,5,4,Missile Provocation,Short-range Missile Launch,North Korea test-fired 2 short-range missiles.,http://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201304110724185440.pdf
2009-05-26,2009,5,3,Missile Provocation,Short-range Missile Launch,North Korea launched 3 surface-to-ship missiles and a surface-to-air missile.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
2009-05-25,2009,5,2,Nuclear Provocation,Nuclear Test / Short-range missile launch,"North Korea conducted its second nuclear test at the Punggye-ri Nuclear Test Site, located in Kilju County, North Hamgyong Province.  The explosion occured underground and the explosive yield was only a few kilotons. It also attempted a short-range missile launch.",https://www.whitehouse.gov/the-press-office/statement-president-regarding-north-korea
2009-04-05,2009,4,1,Missile Provocation,Satellite Launch (Other Provocation),North Korea launched the Kwangmyongsong-2 satellite (Unha-2 ICBM) but the test is deemed a failure after the entire payload exploded mid-air and crashed into the Pacific Ocean.,http://www.washingtonpost.com/wp-dyn/content/article/2009/04/04/AR2009040403239.html
2008-10-07,2008,10,3,Missile Provocation,Anti-Ship Cruise Missile Launch,"North Korea fired 2 short-range anti-ship cruise missiles into the Yellow Sea, likely KN-01.",http://2001-2009.state.gov/r/pa/prs/dpb/2008/oct/110799.htm
2008-05-30,2008,5,6,Missile Provocation,Anti-Ship Cruise Missile Launch,"North Korea fired 3 short-range ballistic missiles, believed to be Styx missiles, into the West Sea. Two out of three reportedly misfired.",http://english.yonhapnews.co.kr/northkorea/2008/05/31/43/0401000000AEN20080531001100315F.HTML
2008-03-28,2008,3,6,Missile Provocation,Anti-Ship Cruise Missile Launch,"North Korea test-fired 3 short-range missiles, believed  to be either P-20 Styx or SY-1 anti-ship cruise missiles, from its west coast into the West Sea.",http://www.cnn.com/2008/WORLD/asiapcf/03/28/nkorea.missile/index.html?eref=rss_world
2007-06-27,2007,6,4,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched 3 KN-02 SRBMs into the East Sea from the East coast.,http://english.yonhapnews.co.kr/northkorea/2007/06/28/45/0401000000AEN20070628006500315F.HTML
2007-06-07,2007,6,5,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea fired 2 KN-01 short-range anti-ship cruise missiles from its West coast.,http://2001-2009.state.gov/r/pa/prs/dpb/2007/jun/86142.htm
2007-05-25,2007,5,6,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired surface-to-ship missiles from both the East and West Coast.,http://2001-2009.state.gov/r/pa/prs/dpb/2007/jun/86142.htm
2006-10-09,2006,10,2,Nuclear Provocation,Nuclear Test,"North Korea conducted the first nuclear weapons test at the underground facility in Punggye-ri Nuclear Test Site, located in Kilju County, North Hamgyong Province.  The explosion yield was less than a kiloton.",http://georgewbush-whitehouse.archives.gov/news/releases/2006/10/20061009.html
2006-07-04,2006,7,3,Missile Provocation,Inter-Continental Ballistic Missile/Short-Range Missile Launches,"North Korea conducted three launches with a total of 7 missiles, including a failed-test of the Taepodong-2 ICBM,  Nodong MRBMs, and Scud SRBMs. The Taepodong-2 was launched from the Tonghae test facility, and the latter from Gitdaeryeong Missile Test Site.",http://2001-2009.state.gov/p/eap/rls/rm/68547.htm
2006-03-07,2006,3,3,Missile Provocation,Short-range Missile Launch,North Korea fired 2 short-range missiles.,http://2001-2009.state.gov/r/pa/prs/dpb/2006/62778.htm
2005-05-01,2005,5,1,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea launched a KN-01 short-range anti-ship cruise missile into the East Sea.,http://www.washingtonpost.com/wp-dyn/content/article/2005/05/01/AR2005050100204.html
2004-11-01,2004,11,2,Other,Territorial Incursion (Maritime),Patrol boats from South Korea fired warning shots to deter three North Korean patrol boats from crossing further south of the Northern Limit Line (NLL).,http://english.donga.com/List/3/all/26/237977/1
2003-11-24,2003,11,2,Other,Territorial Incursion (Maritime),The ROK navy fired warning shots after the Northern Limit Line (NLL) was crossed by a North Korean patrol boat.,http://www.irishtimes.com/news/shots-fired-in-korea-border-dispute-1.962010
2003-10-30,2003,10,5,Other,Territorial Incursion (Maritime),Warning shots were fired by the ROK navy after a North Korean patrol boat crossed the Northern Limit Line (NLL).,http://www.nytimes.com/2003/10/30/world/south-korea-fires-warning-shots-at-north-s-boat.html
2003-10-20,2003,10,2,Missile Provocation,Anti-Ship Cruise Missile Launch,"North Korea conducted its third test of an anti-ship cruise missile, modelled after the Chinese HY-2 Silkworm missile. The missile was launched from North Korea's northeast coast into the East Sea.",http://www.washingtontimes.com/news/2003/oct/20/20031020-103001-4881r/
2003-08-23,2003,8,7,Other,Territorial Incursion (Maritime),A North Korean navy vessel crossed the Northern Limit Line and the ROK navy fired warning shots (NLL).,https://www.fas.org/sgp/crs/row/RL30004.pdf
2003-08-08,2003,8,6,Other,Territorial Incursion (Maritime),ROK navy patrol vessels fired warning shots at two North Korean vessels that crossed the Northern Limit Line (NLL).,http://www.nytimes.com/2003/08/09/world/world-briefing-asia-south-korea-warning-shots-at-northern-vessels.html
2003-07-17,2003,7,5,Other,Exchange of Fire (Ground),Machine-gun fire was exchanged between South and North Korean soldiers at the DMZ. There were no injuries.,http://edition.cnn.com/2003/WORLD/asiapcf/east/07/16/koreas.firing/index.html
2003-06-01,2003,6,1,Other,Territorial Incursion (Maritime),The ROK navy fired warning shots when three North Korean fishing boats crossed the Northern Limit Line (NLL).,http://articles.latimes.com/2003/jun/01/world/fg-boats1
2003-03-10,2003,3,2,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea fired an anti-ship cruise missile from the coast of South Hamgyong province into the East Sea.,http://articles.latimes.com/2003/mar/10/world/fg-missile10
2003-03-02,2003,3,1,Other,Aircraft Interception,A U.S. air force RC-135S Cobra Ball reconnaissance plane was intercepted by two North Korean MiG-29 fighter jets over the East Sea. No shots were fired.,http://www.navy.mil/submit/display.asp?story_id=6146
2003-02-24,2003,2,2,Missile Provocation,Anti-Ship Cruise Missile Launch,"Hours before Roh Moo-hyun's inauguration as South Korean president, North Korea conducted a failed launch of a KN-01 short-range anti-ship cruise missile. U.S. Secretary of State Colin Powell was in Seoul at the time to discuss Pyongyang's nuclear program.","http://www.cnn.com/2003/WORLD/asiapcf/east/03/09/nkorea.test/"">http://www.cnn.com/2003/WORLD/asiapcf/east/03/09/nkorea.test/"">http://www.cnn.com/2003/WORLD/asiapcf/east/03/09/nkorea.test/"
2003-02-20,2003,2,5,Other,Territorial Incursion (Air),"A North Korean MiG-19 fighter jet intruded into South Korean airspace over the Yellow Sea, the first such incursion since 1983. The ROK air force scrambled to send six fighter planes and readied ground-to-air missiles in response, but there was no clash.",http://news.bbc.co.uk/2/hi/asia-pacific/2782533.stm
2003-01-10,2003,1,6,Other,Withdrawal from NPT,"North Korea announced it would withdraw from the Nuclear Nonproliferation Treaty (NPT). Under the terms of the 1994 Geneva Agreed Framework, North Korea had previously agreed to suspend its withdrawal from the NPT.","http://www.cnn.com/2003/WORLD/asiapcf/east/01/10/nkorea.treaty/"">http://www.cnn.com/2003/WORLD/asiapcf/east/01/10/nkorea.treaty/"">http://www.cnn.com/2003/WORLD/asiapcf/east/01/10/nkorea.treaty/"
2002-06-29,2002,6,7,Other,The Second Yeonpyeong Naval Campaign,Two North Korean patrol boats crossed the Northern Limit Line (NLL) and attacked South Korean patrol boats. Thirteen North Korean seamen were killed and 25 were wounded. Six South Korean seamen were killed and one patrol boat was sunk.,http://www.nytimes.com/2002/06/29/world/four-killed-as-north-and-south-korean-navy-vessels-trade-fire.html
2001-12-22,2001,12,7,Other,Territorial Incursion (Maritime),"A North Korean vessel was spotted southwest of Kyushu, Japan on December 21, 2001, prompting the Japanese Coast Guard to give chase, ultimately ending in a 6-hour firefight and the sinking of the North Korean vessel. In 2002 and 2003, inspections by Japanese authorities determined that the vessel was a spy craft.",http://www.nytimes.com/2002/10/05/world/japan-says-north-korea-boat-in-sea-battle-was-a-spy-ship.html
2001-12-22,2001,12,7,Other,Territorial Incursion (Maritime),"A North Korean espionage boat is discovered by Japan's coast guard. After ignoring warnings to stay out of Japan's 200 nautical mile exclusive economic zone, a chase and exchange of gunfire ensued. The spy boat may have sunk itself to avoid capture.",https://fas.org/sgp/crs/row/RL30004.pdf
2001-11-27,2001,11,3,Other,Exchange of Fire (Ground),North Korean troops fired shots at a United Nations Command guard post prompting the ROK army to return fire. There were no injuries.,http://edition.cnn.com/2001/WORLD/asiapcf/east/11/27/koreas.fire/index.html
2001-09-20,2001,9,5,Other,Territorial Incursion (Ground),Ten to twelve North Korean soldiers crossed 30-50 meters south of the Military Demarcation Line (MDL). They retreated after the UNC issued warnings and fired warning shots.,Korean Peninsula Clashes
2001-09-19,2001,9,4,Other,Territorial Incursion (Ground),A group of North Korean soldiers were observed passing through the forward fence line. A UNC guard issued verbal warnings and fired warning shots before they retreated.,Korean Peninsula Clashes
2000-03-23,2000,3,5,Other,Maritime Boundary Declaration,North Korea unilaterally declared that based on its “Regulations Concerning Navigation in Vicinity of the Five Islands in the West Sea” any U.S. or ROK military and civilian vessels entering the region north of its military demarcation line (9/2/1999) would need to use routes designated by North Korea.,https://assets.documentcloud.org/documents/1341897/rok-position-regarding-northern-limit-line-2002.pdf
1999-09-02,1999,9,5,Other,Maritime Boundary Declaration,"North Korea declared a new maritime military demarcation line in protest against the NLL boundary. The maritime boundary drawn by North Korea approximates an equidistant line between the coasts of the two Koreas, ignoring five small South Korean islands running south of the NLL. The declaration was made supposedly in response to the defeat in the First Yeonpyeong Naval Campaign.",https://assets.documentcloud.org/documents/1341897/rok-position-regarding-northern-limit-line-2002.pdf
1999-06-15,1999,6,3,Other,The First Yeonpyeong Naval Campaign,North Korean patrol boats and fishing vessels crossed the Northern Limit Line (NLL) to the southwest of Yeonpyeong Island on several occasions between June 6 and June 15. The ROK navy initially conducted ramming maneuvers to force the ships back but were attacked by North Korean vessel. ROK navy retaliated and sank 1 North Korean torpedo boat and damaged 5 patrol boats. The North Koreans suffered multiple casualties while 7 South Korean sailors were wounded and 5 patrol boats were damaged.,http://www.cnn.com/WORLD/asiapcf/9906/15/korea.standoff.01/
1999-03-24,1999,3,4,Other,Territorial Incursion (Maritime),"Two suspicious North Korean vessels were spotted off the coast of the Noto Peninsula, Japan. The Japanese Coast Guard and Maritime Self Defense Force gave chase for 24 hours; however, the two boats escaped.",http://articles.latimes.com/1999/mar/25/news/mn-20861
1998-12-17,1998,12,5,Other,Infiltration and Incursion,The South Korean navy intercepted and sank a North Korean semi-submersible vessel attempting to land commandos on a southern part of South Korea's coast. A dead North Korean diver was recovered afterwards. The hull of the North Korean vessel was salvaged a year later.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
1998-11-20,1998,11,6,Other,Infiltration and Incursion,A North Korean vessel was detected off the waters of Ganghwa Island and escaped South Korea capture - the boat was apparently on a mission to either drop off or pick up North Korean agents tasked with infiltrating South Korea.,http://nautilus.org/napsnet/napsnet-daily-report/napsnet-daily-report-23-november-1998/#item5
1998-08-31,1998,8,2,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea test-launched a Taepodong-1, an intermediate-range ballistic missile, from the Musudan-ri launch facility on the northeast coast.",https://fas.org/sgp/crs/nuke/RS21473.pdf
1998-07-12,1998,7,1,Other,Infiltration and Incursion,"A presumed North Korean agent in diving gear was found dead on a beach in Donghae equipped with tools and weapons, suggesting he was on an espionage mission.",http://www.nytimes.com/1998/07/13/world/dead-diver-from-north-puts-seoul-on-alert.html
1998-06-22,1998,6,2,Other,Infiltration and Incursion,"A North Korean Yugo-class midget submarine was seized off the coast of Sokcho after being entangled in South Korean fishing nets. When salvaged, the bodies of 9 dead North Korean crew were found in the submarine from apparent murder-suicide.",http://nkinfo.unikorea.go.kr/nkp/term/viewKnwldgDicary.do?pageIndex=1&dicaryId=192&searchCnd=0&searchWrd=
1997-07-16,1997,7,4,Other,Exchange of Fire (Ground),Fourteen North Korean soldiers intruded 50-70 meters south of the military demarcation line. The incursion led to a 23-minute exchange of gunfire and mortar rounds.,http://www.cnn.com/WORLD/9707/16/korea/
1997-06-05,1997,6,5,Other,Territorial Provocation (Maritime),Three North Korean patrol boats travelled about 2 miles south of the Northern Limit Line in the Yellow Sea and opened fire at South Korean patrol boats.,http://www.nytimes.com/1997/06/06/world/north-korean-boats-fire-on-south-s-in-waters-controlled-by-seoul.html
1997-05-23,1997,5,6,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea test-fired a new anti-ship cruise missile called AG-1 from a mobile launcher. The AG-1 is believed to be based upon the CSS-C-3 Seersucker and believed to have a longer range than the Silkworm of as much as 120 km.,http://www.rense.com/general35/tested.htm
1997-04-10,1997,4,5,Other,Exchange of Fire (Ground),Five North Korean soldiers opened fire at South Korean positions after crossing the Military Demarcation Line (MDL) in the Cholwon sector before the visit of U.S. Defense Secretary William Cohen to South Korea.,http://www.cnn.com/WORLD/9704/10/korea/
1996-11-05,1996,11,3,Other,Exchange of Fire from Manhunt - Final Incident,"Two North Korean commandos and South Korean soldiers exchanged fire near the North-South border, 7 weeks after a North Korean submarine ran aground at Gangneung. Both were killed. Of the 26 North Korean infiltrators, 24 died (11 murder-suicide, 13 killed in manhunt), 1 was captured, and 1 escaped.",http://www.nytimes.com/1996/11/06/world/one-commando-still-at-large-in-korea-submarine-manhunt.html
1996-09-30,1996,9,2,Other,Exchange of Fire (Ground),One North Korean infiltrator (eventually killed) and South Korean soldiers exchanged fire. (Final incident of manhunt),http://www.mofa.go.kr/state/publication/whitepaper/1997/20071018/3694_file_1997_3.pdf
1996-09-28,1996,9,7,Other,Exchange of Fire (Ground),One North Korean infiltrator (eventually killed) and South Korean soldiers exchanged fire. (4th incident of manhunt),http://www.mofa.go.kr/state/publication/whitepaper/1997/20071018/3694_file_1997_3.pdf
1996-09-22,1996,9,1,Other,Exchange of Fire (Ground),One North Korean infiltrator (eventually killed) and South Korean soldiers exchanged fire. (3rd incident of manhunt),http://www.mofa.go.kr/state/publication/whitepaper/1997/20071018/3694_file_1997_3.pdf
1996-09-21,1996,9,7,Other,Exchange of Fire (Ground),One North Korean infiltrator (eventually killed) and South Korean soldiers exchanged fire near a hillside at the South Korean east coast. (2nd incident of manhunt),http://www.mofa.go.kr/state/publication/whitepaper/1997/20071018/3694_file_1997_3.pdf
1996-09-19,1996,9,5,Other,Exchange of Fire (Ground),Seven North Korean infiltrators (eventually killed) and South Korean soldiers exchanged fire. (1st incident of manhunt),http://www.mofa.go.kr/state/publication/whitepaper/1997/20071018/3694_file_1997_3.pdf
1996-09-18,1996,9,4,Other,Infiltration and Incursion,"A North Korean Sang-O class submarine made a failed attempt to collect a reconnaissance team on the sea shores near Gangneung, South Korea. The submarine ran aground and the North Korean agents split into groups. After 1 of the infiltrators was captured by police, ROK military conducted a 49-day long manhunt. The manhunt resulted in 6 days of clashes between North and South.",http://archive.defense.gov/news/newsarticle.aspx?id=40699
1996-04-07,1996,4,1,Other,Territorial Provocation (Ground),"For 3 consecutive days on 3 occasions, a combined total of several hundred North Korean troops crossed the military demarcation line (MDL) into the joint security area after Pyongyang’s unilateral declaration that it would no longer abide by armistice provisions concerning the DMZ.",http://www.nytimes.com/1996/04/08/world/armed-north-korea-troops-again-violate-the-dmz.html
1996-04-06,1996,4,7,Other,Territorial Provocation (Ground),"For 3 consecutive days on 3 occasions, a combined total of several hundred North Korean troops crossed the military demarcation line (MDL) into the joint security area after Pyongyang’s unilateral declaration that it would no longer abide by armistice provisions concerning the DMZ.",http://www.nytimes.com/1996/04/08/world/armed-north-korea-troops-again-violate-the-dmz.html
1996-04-05,1996,4,6,Other,Territorial Provocation (Ground),"For 3 consecutive days on 3 occasions, a combined total of several hundred North Korean troops crossed the military demarcation line (MDL) into the joint security area after Pyongyang’s unilateral declaration that it would no longer abide by armistice provisions concerning the DMZ.",http://www.nytimes.com/1996/04/08/world/armed-north-korea-troops-again-violate-the-dmz.html
1995-10-25,1995,10,4,Other,Infiltration and Incursion,"Two North Korean agents were intercepted 100 miles south of Seoul in Buyeo county.  One of the infiltrators was killed and the other was captured alive. The North Korean agent stated that his mission was to contact underground cells, anti-government dissidents, and politicians sympathetic to the DPRK in South Korea.",http://www.cfr.org/content/publications/attachments/Korean_Peninsula_Clashes.pdf
1995-10-17,1995,10,3,Other,Infiltration and Incursion,Two North Korean agents were caught south of the DMZ at the Imjin River - one was shot and the other escaped.,http://www.cfr.org/content/publications/attachments/Korean_Peninsula_Clashes.pdf
1995-08-01,1995,8,3,Other,Detainment of South Korean Vessel,"North Korea captured a South Korean ship, named the Samsun Venus, and held the vessel and its 21-man crew near the east coast port of Chongjin. The ship and crew were released August 13, 1995.",http://articles.latimes.com/1995-08-13/news/mn-34749_1_north-korea
1995-03-31,1995,3,6,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea conducted a third test of an anti-ship cruise missile claimed to be part of normal training exercises.,http://www.dod.gov/pubs/prolif/ne_asia.html
1994-12-17,1994,12,7,Other,U.S. Helicopter Shot Down,"A U.S. Army OH-58 helicopter accidently strayed 6 miles North of the military demarcation line (MDL) and was shot down by DPRK forces. One crew member was killed in the downing and the other was held for thirteen days and released on December 30, 1994.",http://www.nytimes.com/1994/12/31/world/freed-pilot-tells-how-he-was-downed-by-north-koreans.html
1994-06-02,1994,6,5,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea conducted a second test of an anti-ship cruise missile that flew into the East Sea.,http://www.dod.gov/pubs/prolif/ne_asia.html
1994-05-31,1994,5,3,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea tested an anti-ship cruise missile modelled after the Chinese HY-2 Silkworm missile.,http://www.nytimes.com/1994/06/01/world/north-korea-tests-cruise-missile-designed-to-sink-ships.html
1993-05-30,1993,5,1,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea test-launched Nodong-1 missile and also fired at least 2 Hwasongs-5 and 6 missiles. The missiles were fired at a target buoy in the direction of Japan off the coastal city of Wonsan into the East Sea.,http://www.archives.go.kr/next/search/listSubjectDescription.do?id=002943&pageFlag=
1993-05-29,1993,5,7,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea test-launched Nodong-1 missile and also fired at least 2 Hwasongs-5 and 6 missiles. The missiles were fired at a target buoy in the direction of Japan off the coastal city of Wonsan into the East Sea.,http://www.archives.go.kr/next/search/listSubjectDescription.do?id=002943&pageFlag=
1993-03-12,1993,3,6,Other,Withdrawal from NPT,"North Korea announced its intention to withdraw from the NPT, declaring that the NPT and IAEA were ""being appropriated to realize the impure U.S. political goal of eliminating"" the North Korean system.",http://nkinfo.unikorea.go.kr/nkp/term/viewNkKnwldgDicary.do?pageIndex=22&koreanChrctr=&dicaryId=213
1992-06-01,1992,6,2,Missile Provocation,Medium-range Ballistic Missile Launch,Unnamed Japanese military sources indicated that North Korea made its 2nd failed attempt at launching the Nodong-1 missile. There is also the possibility that the test was outright cancelled instead.,http://www.nonproliferation.org/chronology-of-north-koreas-missile-trade-and-developments-1992-1993/
1992-05-22,1992,5,6,Other,Infiltration and Incursion,"Three North Korean infiltrators crossed into South Korea disguised in ROK military uniforms and were shot dead south of the DMZ at Chorwon County, Gangwon province. Three South Korean soldiers were also wounded.",https://fas.org/sgp/crs/row/RL30004.pdf
1991-07-01,1991,7,2,Missile Provocation,Joint Missile Test with China,"Norea Korea and China reportedly tested a prototype of a medium-range ballistic missile at Yinchuan province in China. This prototype utilized multiple independently targetable reentry vehicle (MIRV) technology. Since 1988, North Korea had sent 90 military officials and weapons specialists to Yinchuan to learn nuclear testing and missile flight technology.",http://www.seoul.co.kr/news/newsView.php?id=19911207001001
1991-07-01,1991,7,2,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea launched a Hwasong-6 (Scud-C) short-range ballistic missile via a transporter erector launcher (TEL), from a Korean People’s Army (KPA) base in Gangwon province. The missle flew about 500 km northeast and landed in the East Sea. The exact day of the launch is unknown although several sources cite the month of July for the test. For the purposes of this database the test date was written as July 1.",http://www.nonproliferation.org/chronology-of-north-koreas-missile-trade-and-developments-1990-1991/
1990-06-01,1990,6,6,Missile Provocation,Short-range Ballistic Missile Launch,North Korea carried out a successful launch of a Hwasong-6 missile from its Musudan-ri (Donghae) satellite launching ground and test site. The exact day of the launch is unknown although several sources cite the month of June for the test. For the purposes of this database the test date was written as June 1.,http://www.nonproliferation.org/chronology-of-north-koreas-missile-trade-and-developments-1990-1991/
1990-05-01,1990,5,3,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea attempted to launch a Nodong-1 missile but it reportedly exploded on the launch pad. The exact day of the launch is unknown although several sources cite the month of May for the test. For the purposes of this database the test date was written as May 1.,http://www.tongilnews.com/news/articleView.html?idxno=4044
1990-03-03,1990,3,7,Other,Infiltration and Incursion,"A 4th North Korean inflitration tunnel was discovered in the DMZ at hills 80 miles northeast of Seoul. The tunnel was around 1.25 miles long and extended 4,000 feet into South Korea across the DMZ.",https://fas.org/sgp/crs/row/RL30004.pdf
1987-11-29,1987,11,1,Other,Bombing of South Korean Civilian Aircraft,"Two North Korean spies planted a bomb on Korean Airlines (KAL) Flight 858 on route from Baghdad to Seoul. The plane exploded over the Andaman Sea killing all 115 passengers on board. Both agents attempted to commit suicide after being arrested - only one, Kim Seung-il died. The other, Kim Hyon Hui, survived and later confessed that the bombing was directly ordered by Kim Jong-il to disrupt the 1988 Seoul Olympics.",https://www.cia.gov/library/readingroom/docs/DOC_0000275436.pdf
1987-11-21,1987,11,7,Other,Exchange of Fire (Ground),"A North Korean guard fired on an ROK Army observation post in the central sector of the DMZ, injuring one ROK soldier.",http://imnews.imbc.com/20dbnews/history/1987/1798433_19322.html
1986-09-14,1986,9,1,Other,Airport Terror Bombing,An explosive device was detonated by North Korean agents at Gimpo International Airport in Seoul. Five people were killed and 30 others were injured.,https://2001-2009.state.gov/r/pa/ho/pubs/fs/5902.htm
1986-04-24,1986,4,5,Other,Exchange of Fire (Maritime),An armed DPRK vessel crossed Northern Limit Line in the East Sea and opened fired when confronted by a ROK navy vessel. The DPRK vessel sunk in an exchange of fire - the North had claimed the vessel was an unarmed trawler.,http://www.cfr.org/content/publications/attachments/Korean_Peninsula_Clashes.pdf
1985-10-20,1985,10,1,Other,Infiltration and Incursion,"A North Korean spy ship was sunk by the ROK navy off the coast of Busan, South Korea.",http://archives.chicagotribune.com/1985/10/21/page/2/article/s-koreans-sink-vessel-as-spy-boat
1985-06-07,1985,6,6,Missile Provocation,Short-range Ballistic Missile Launch,North Korea test-fired an improved model of its Hwasong-5 (Scud-B) missile. Mass production of these missiles began in 1986 (approx. 100 missiles/year).,https://goo.gl/iSLDMz; http://www.nonproliferation.org/wp-content/uploads/2016/09/op2.pdf
1984-11-23,1984,11,6,Other,Exchange of Fire (Ground),North Korean and United Nations Command (UNC) troops clashed at Panmunjom when a Soviet citizen defected to South during a tour of the DMZ. Two North Korean soldiers and one South Korean soldier were killed. One American soldier and two North Korean soldiers were wounded.,http://www.nytimes.com/1984/11/24/world/3-koreans-killed-as-soldiers-trade-shots-in-the-dmz.html
1984-09-24,1984,9,2,Other,Assault and Assassination Attempt,"A North Korean agent killed 2 South Korean civilians and wounded another before committing suicide by ingesting potassium cyanide in the city of Daegu, South Korea.",http://www.nytimes.com/1984/09/30/world/north-korea-delivers-flood-aid-supplies-to-south.html
1984-09-01,1984,9,7,Missile Provocation,Short-range Ballistic Missile Launch,North Korea conducted at least 2 additional launches of a Hwasong-5 (Scud-B) missile from its Musudan-ri (Donghae) satellite launching ground and test site. This brings the total number to 6 tests of the Hwasong-5 missile with three successes and three failures in the April and September periods. The exact day of the launch is unknown although several sources cite the month of September for the test. For the purposes of this database the test date was written as September 1.,https://fas.org/nuke/guide/dprk/nkag-report.htm
1984-04-01,1984,4,1,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea made its first successful test-fire of a Hwasong-5 (Scud-B) missile from its Musudan-ri (Donghae) satellite launching ground and test site. Later, additional tests are conducted with 2 known failures. On April 9th, North Korea conducts at least 3 more tests. The exact date of the launch is unknown although several sources cite the month of April for the test. For the purposes of this database the test date was written as April 1.",https://goo.gl/HXBYQY
1984-02-16,1984,2,5,Other,Assault and Assassination Attempt,"Two Canadians, Charles Yanover and Alexander Gerol, testified at a Canadian court that North Korean agents hired them in 1981 for $500,000 - $600,000 to assassinate South Korean President Chun Doo Hwan. The two were originally arrested on February 24, 1982 and they pleaded guilty to accepting the contract in May 1981. The assassination was to take place during Chun’s visit to the Philippines in July 1982. They were convicted and sentenced to prison terms of 1-2 years.",http://www.upi.com/Archives/1984/02/16/Men-admit-to-sting-of-North-Koreans/5225445755600/
1983-12-03,1983,12,7,Other,Infiltration and Incursion,"A North Korean spy ship was caught and sunk while trying to infiltrate Dadaepo beach, Busan. Two armed spies, Chon Chung-nam and Yi Sang-gyu, were captured at Dadaepo Beach.",http://www.nytimes.com/1983/12/05/world/around-the-world-south-koreans-sink-spy-boat-from-north.html
1983-10-09,1983,10,1,Other,The Rangoon Bombing,"Assasination attempt against Republic of Korea President Chun Doo-hwan. Three North Korean agents planted bombs at the Martyrs' Mausoleum commemorating Aung San in Rangoon, Burma (Myanmar) with the intent of killing President Chun during an official visit. The bombing killed 21 people and injured 46 others.",https://www.cia.gov/library/readingroom/docs/DOC_0000408056.pdf
1983-09-22,1983,9,5,Other,Explosion at U.S. Cultural Center in Taegu,"A bomb exploded at the main entrance of the U.S. cultural center in Daegu, South Korea. Officials reported that one South Korean was killed in the explosion and at least three others were injured as a result.",https://www.newspapers.com/newspage/170856874/; http://www.nytimes.com/1983/09/23/world/around-the-world-korean-dies-in-blast-at-us-culture-center.html
1983-08-13,1983,8,7,Other,Infiltration and Incursion,A North Korean spy boat was captured near Munsan in the East Sea. Three DPRK agents were killed.,https://goo.gl/hVz1GF
1983-08-05,1983,8,6,Other,Infiltration and Incursion,A North Korean spy boat was sunk at the East Sea near Gampo. Five DPRK agents attempting to make an amphibious landing were killed.,https://goo.gl/RrydgI
